user_id,group_id,event_count,interest_vector
1,0,44,"0.954475;0.006266;0.003577;0.005948;0.003002;0.000000;0.000000;0.006203;0.003538;0.015354;0.000000;0.001637"
2,1,215,"0.001478;0.948231;0.000607;0.003771;0.002263;0.028109;0.002437;0.003734;0.004256;0.002559;0.001666;0.000890"
3,2,61,"0.000000;0.000000;0.954280;0.000793;0.033666;0.003028;0.003074;0.001785;0.000000;0.001763;0.000865;0.000746"
4,3,21,"0.000000;0.000000;0.005082;0.939590;0.001558;0.000000;0.000000;0.004674;0.000000;0.000000;0.041182;0.007914"
5,4,219,"0.002366;0.002461;0.002732;0.001964;0.894422;0.000573;0.003223;0.085155;0.002200;0.001395;0.001089;0.002420"
6,5,67,"0.005327;0.000000;0.000000;0.029345;0.001797;0.953293;0.000000;0.000000;0.004883;0.002983;0.002371;0.000000"
7,6,79,"0.000858;0.000000;0.001388;0.002787;0.000000;0.000000;0.963364;0.028628;0.000874;0.000000;0.002100;0.000000"
8,7,59,"0.172547;0.000000;0.000000;0.000000;0.001739;0.000000;0.000000;0.821774;0.000776;0.000000;0.000000;0.003163"
9,8,55,"0.000703;0.007234;0.003420;0.000000;0.000260;0.001796;0.002357;0.013874;0.950629;0.007687;0.011548;0.000491"
10,9,21,"0.000000;0.000000;0.000481;0.013869;0.000000;0.000000;0.000000;0.003349;0.002084;0.980216;0.000000;0.000000"
11,10,65,"0.000000;0.000000;0.000000;0.000000;0.000832;0.000368;0.001485;0.002729;0.040100;0.000000;0.953371;0.001116"
12,11,113,"0.000621;0.000000;0.006265;0.001332;0.004420;0.002786;0.059811;0.000479;0.005846;0.000563;0.002194;0.915684"
13,0,44,"0.917436;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.082564;0.000000;0.000000;0.000000;0.000000"
14,1,65,"0.000974;0.933817;0.001354;0.001599;0.006669;0.001558;0.006559;0.003304;0.003194;0.007124;0.004603;0.029244"
15,2,28,"0.000000;0.000000;0.971930;0.000000;0.000000;0.002383;0.000683;0.002492;0.002582;0.002620;0.002559;0.014752"
16,3,46,"0.000000;0.002672;0.000000;0.902261;0.092562;0.000000;0.002504;0.000000;0.000000;0.000000;0.000000;0.000000"
17,4,43,"0.000858;0.001918;0.000000;0.025190;0.970009;0.000000;0.000000;0.002026;0.000000;0.000000;0.000000;0.000000"
18,5,836,"0.002062;0.002860;0.001718;0.003402;0.002192;0.926599;0.049366;0.001767;0.002087;0.002855;0.002570;0.002523"
19,6,55,"0.000000;0.005222;0.005071;0.000794;0.000000;0.001398;0.950708;0.003552;0.000000;0.028126;0.001735;0.003394"
20,7,148,"0.000766;0.002363;0.002207;0.001393;0.000000;0.001546;0.001009;0.910644;0.000697;0.002831;0.001612;0.074931"
21,8,161,"0.001088;0.002797;0.117720;0.001148;0.003089;0.000422;0.000351;0.000731;0.867555;0.002227;0.001251;0.001621"
22,9,98,"0.002967;0.000762;0.001887;0.001727;0.001057;0.000000;0.002924;0.002092;0.001995;0.949745;0.000000;0.034843"
23,10,23,"0.009688;0.000000;0.163311;0.004705;0.005999;0.000000;0.000000;0.000000;0.000000;0.000000;0.816296;0.000000"
24,11,37,"0.105984;0.001838;0.000253;0.000774;0.000000;0.000758;0.000000;0.002804;0.000388;0.003049;0.000000;0.884152"
25,0,188,"0.964524;0.000795;0.000000;0.001461;0.001941;0.007280;0.001485;0.001125;0.020538;0.000000;0.000329;0.000521"
26,1,103,"0.004823;0.968792;0.001547;0.001116;0.011753;0.003546;0.001093;0.002313;0.000395;0.001886;0.000317;0.002420"
27,2,57,"0.024446;0.000641;0.969369;0.000000;0.000923;0.000150;0.003350;0.001122;0.000000;0.000000;0.000000;0.000000"
