user_id,group_id,primary_topic,secondary_topic,activity_level,planned_events
1,0,0,9,0.469276,44
2,1,1,5,0.725096,215
3,2,2,4,0.394348,61
4,3,3,10,0.390648,21
5,4,4,7,0.715944,219
6,5,5,3,0.546890,67
7,6,6,7,0.576004,79
8,7,7,0,0.372906,59
9,8,8,7,0.450773,55
10,9,9,3,0.451142,21
11,10,10,8,0.509034,65
12,11,11,6,0.762495,113
13,0,0,7,0.478882,44
14,1,1,11,0.422009,65
15,2,2,11,0.399262,28
16,3,3,4,0.562248,46
17,4,4,3,0.379990,43
18,5,5,6,1.019550,836
19,6,6,9,0.456376,55
20,7,7,11,0.654541,148
21,8,8,2,0.859011,161
22,9,9,11,0.814053,98
23,10,10,2,0.440647,23
24,11,11,0,0.483768,37
25,0,0,8,0.738546,188
26,1,1,4,0.709275,103
27,2,2,0,0.358069,57
28,3,3,0,0.482271,67
29,4,4,10,0.782243,189
30,5,5,4,0.829632,112
31,6,6,9,0.449933,38
32,7,7,0,0.577985,32
33,8,8,1,1.066087,854
34,9,9,11,0.684226,154
35,10,10,5,0.560262,50
36,11,11,1,0.573580,64
37,0,0,4,0.479941,67
38,1,1,0,0.728339,216
39,2,2,6,0.747325,241
40,3,3,11,0.353136,76
41,4,4,6,0.486727,51
42,5,5,8,0.666592,156
43,6,6,11,0.462091,32
44,7,7,11,0.531654,43
45,8,8,3,0.549548,42
46,9,9,6,0.728010,90
47,10,10,1,0.590776,43
48,11,11,2,0.685781,170
49,0,0,8,0.805380,220
50,1,1,9,0.488581,44
51,2,2,5,0.908166,916
52,3,3,0,0.517180,56
53,4,4,7,0.351541,29
54,5,5,6,0.530408,46
55,6,6,4,0.496681,56
56,7,7,9,0.438590,67
57,8,8,2,0.432271,76
58,9,9,11,0.586448,21
59,10,10,5,0.518009,34
60,11,11,7,0.485765,44
61,0,0,9,0.484045,74
62,1,1,11,0.359136,62
63,2,2,3,0.429855,21
64,3,3,0,0.386461,42
65,4,4,0,0.680411,198
66,5,5,6,0.384968,60
67,6,6,5,0.559973,26
68,7,7,0,0.777268,153
69,8,8,6,0.472868,67
70,9,9,8,0.717037,164
71,10,10,3,0.394633,49
72,11,11,8,0.368892,62
73,0,0,6,1.024413,338
74,1,1,6,0.696554,152
75,2,2,7,0.739572,243
76,3,3,11,0.555266,49
77,4,4,1,0.565035,50
78,5,5,8,0.440098,22
79,6,6,9,0.591912,42
80,7,7,6,0.363026,41
81,8,8,7,0.563373,65
82,9,9,0,0.576495,37
83,10,10,11,0.690385,144
84,11,11,8,0.766049,202
85,0,0,8,1.156610,371
86,1,1,9,0.448049,25
87,2,2,9,0.409799,54
88,3,3,8,0.498217,33
89,4,4,3,0.816547,235
90,5,5,6,0.466843,44
91,6,6,8,0.509822,58
92,7,7,8,0.664219,219
93,8,8,10,0.584529,40
94,9,9,8,0.706893,138
95,10,10,9,0.367394,64
96,11,11,9,0.561393,65
97,0,0,1,0.516447,55
98,1,1,5,0.394410,53
99,2,2,10,0.569833,50
100,3,3,0,0.803798,124
101,4,4,3,0.425287,38
102,5,5,9,0.541854,77
103,6,6,0,0.658212,113
104,7,7,4,0.543869,34
105,8,8,4,1.158202,511
106,9,9,0,0.351874,57
107,10,10,9,0.416998,79
108,11,11,10,0.355320,68
109,0,0,7,0.382434,55
110,1,1,7,0.523478,67
111,2,2,1,0.509149,26
112,3,3,1,0.587300,54
113,4,4,6,0.501090,43
114,5,5,3,0.427503,40
115,6,6,2,0.474098,68
116,7,7,11,0.597015,40
117,8,8,9,0.394439,35
118,9,9,6,0.892807,129
119,10,10,3,0.673560,83
120,11,11,10,0.365128,68
121,0,0,8,0.421120,37
122,1,1,3,0.802835,241
123,2,2,3,0.471451,45
